,Statecode,Districtcode,VillageCode,Population,Males,Females
0,21,5,375300,381,200,181
1,21,5,375400,463,237,226
2,21,5,375500,6,3,3
3,21,5,375600,276,148,128
4,21,5,375700,57,30,27
5,21,5,375800,86,43,43
6,21,5,375900,55,34,21
7,21,5,376000,251,128,123
8,21,5,376100,96,43,53
9,21,5,376200,345,172,173
10,21,5,376300,210,106,104
11,21,5,376400,364,183,181
12,21,5,376500,21,10,11
13,21,5,376600,113,61,52
14,21,5,376700,216,116,100
15,21,5,376800,440,221,219
16,21,5,376900,130,65,65
17,21,5,377000,89,47,42
18,21,5,377100,621,303,318
19,21,5,377200,231,108,123
20,21,5,377300,634,313,321
21,21,5,377400,400,214,186
22,21,5,377500,210,106,104
23,21,5,377600,871,423,448
24,21,5,377700,226,119,107
25,21,5,377800,609,302,307
26,21,5,377900,922,456,466
27,21,5,378000,817,384,433
28,21,5,378100,250,127,123
29,21,5,378200,919,470,449
30,21,5,378300,1005,512,493
31,21,5,378400,687,337,350
32,21,5,378500,2567,1400,1167
33,21,5,378600,1381,692,689
34,21,5,378700,434,217,217
35,21,5,378800,1998,1185,813
36,21,5,378900,423,214,209
37,21,5,379000,990,484,506
38,21,5,379100,213,107,106
39,21,5,379200,607,303,304
40,21,5,379300,0,0,0
41,21,5,379400,257,118,139
42,21,5,379500,293,157,136
43,21,5,379600,525,258,267
44,21,5,379700,598,307,291
45,21,5,379800,875,449,426
46,21,5,379900,331,164,167
47,21,5,380000,490,279,211
48,21,5,380100,104,45,59
49,21,5,380200,2168,1078,1090
50,21,5,380300,729,364,365
51,21,5,380400,17,9,8
52,21,5,380500,1137,555,582
53,21,5,380600,1301,652,649
54,21,5,380700,682,330,352
55,21,5,380800,251,128,123
56,21,5,380900,259,127,132
57,21,5,381000,2008,1002,1006
58,21,5,381100,280,148,132
59,21,5,381200,160,76,84
60,21,5,381300,211,104,107
61,21,5,381400,75,30,45
62,21,5,381500,718,358,360
63,21,5,381600,255,120,135
64,21,5,381700,486,243,243
65,21,5,381800,721,361,360
66,21,5,381900,971,476,495
67,21,5,382000,345,179,166
68,21,5,382100,683,349,334
69,21,5,382200,355,184,171
70,21,5,382300,408,201,207
71,21,5,382400,906,443,463
72,21,5,382500,707,354,353
73,21,5,382600,114,63,51
74,21,5,382700,153,78,75
75,21,5,382800,1111,559,552
76,21,5,382900,139,72,67
77,21,5,383000,824,414,410
78,21,5,383100,483,251,232
79,21,5,383200,381,191,190
80,21,5,383300,289,153,136
81,21,5,383400,308,144,164
82,21,5,383500,424,206,218
83,21,5,383600,97,48,49
84,21,5,383700,738,364,374
85,21,5,383800,232,123,109
86,21,5,383900,165,82,83
87,21,5,384000,272,134,138
88,21,5,384100,498,255,243
89,21,5,384200,392,201,191
90,21,5,384300,202,107,95
91,21,5,384400,3,2,1
92,21,5,384500,417,204,213
93,21,5,384600,168,92,76
94,21,5,384700,98,46,52
95,21,5,384800,211,108,103
96,21,5,384900,83,42,41
97,21,5,385000,53,30,23
98,21,5,385100,0,0,0
99,21,5,385200,3277,1643,1634
100,21,5,385300,81,41,40
101,21,5,385400,302,151,151
102,21,5,385500,204,104,100
103,21,5,385600,228,116,112
104,21,5,385700,181,94,87
105,21,5,385800,175,90,85
106,21,5,385900,227,116,111
107,21,5,386000,210,99,111
108,21,5,386100,263,137,126
109,21,5,386200,974,481,493
110,21,5,386300,257,135,122
111,21,5,386400,155,82,73
112,21,5,386500,102,53,49
113,21,5,386600,165,77,88
114,21,5,386700,138,71,67
115,21,5,386800,45,23,22
116,21,5,386900,2,1,1
117,21,5,387000,529,270,259
118,21,5,387100,255,128,127
119,21,5,387200,116,63,53
120,21,5,387300,0,0,0
121,21,5,387400,81,39,42
122,21,5,387500,104,49,55
123,21,5,387600,155,92,63
124,21,5,387700,2679,1322,1357
125,21,5,387800,168,92,76
126,21,5,387900,166,92,74
127,21,5,388000,74,41,33
128,21,5,388100,811,424,387
129,21,5,388200,292,153,139
130,21,5,388300,94,42,52
131,21,5,388400,808,406,402
132,21,5,388500,537,261,276
133,21,5,388600,91,50,41
134,21,5,388700,187,92,95
135,21,5,388800,0,0,0
136,21,5,388900,123,61,62
137,21,5,389000,364,215,149
138,21,5,389100,0,0,0
139,21,5,389200,30,18,12
140,21,5,389300,439,234,205
141,21,5,389400,202,102,100
142,21,5,389500,242,117,125
143,21,5,389600,75,39,36
144,21,5,389700,189,91,98
145,21,5,389800,430,215,215
146,21,5,389900,226,115,111
147,21,5,390000,24,12,12
148,21,5,390100,192,92,100
149,21,5,390200,232,117,115
150,21,5,390300,282,134,148
151,21,5,390400,79,40,39
152,21,5,390500,1,1,0
153,21,5,390600,357,175,182
154,21,5,390700,222,112,110
155,21,5,390800,224,110,114
156,21,5,390900,347,181,166
157,21,5,391000,71,33,38
158,21,5,391100,163,79,84
159,21,5,391200,28,16,12
160,21,5,391300,80,39,41
161,21,5,391400,879,452,427
162,21,5,391500,209,110,99
163,21,5,391600,235,123,112
164,21,5,391700,367,173,194
165,21,5,391800,190,92,98
166,21,5,391900,397,196,201
167,21,5,392000,255,123,132
168,21,5,392100,252,130,122
169,21,5,392200,344,163,181
170,21,5,392300,127,61,66
171,21,5,392400,819,411,408
172,21,5,392500,248,123,125
173,21,5,392600,539,262,277
174,21,5,392700,264,161,103
175,21,5,392800,401,196,205
176,21,5,392900,143,72,71
177,21,5,393000,75,34,41
178,21,5,393100,55,24,31
179,21,5,393200,115,55,60
180,21,5,393300,18,11,7
181,21,5,393400,14,7,7
182,21,5,393500,61,32,29
183,21,5,393600,84,39,45
184,21,5,393700,480,243,237
185,21,5,393800,241,118,123
186,21,5,393900,164,80,84
187,21,5,394000,58,30,28
188,21,5,394100,192,87,105
189,21,5,394200,95,48,47
190,21,5,394300,282,135,147
191,21,5,394400,1106,559,547
192,21,5,394500,220,104,116
193,21,5,394600,144,68,76
194,21,5,394700,74,36,38
195,21,5,394800,234,113,121
196,21,5,394900,553,269,284
197,21,5,395000,565,264,301
198,21,5,395100,239,123,116
199,21,5,395200,504,255,249
200,21,5,395300,28,9,19
201,21,5,395400,424,195,229
202,21,5,395500,92,48,44
203,21,5,395600,133,62,71
204,21,5,395700,633,315,318
205,21,5,395800,325,166,159
206,21,5,395900,837,410,427
207,21,5,396000,863,426,437
208,21,5,396100,2271,1164,1107
209,21,5,396200,967,436,531
210,21,5,396300,170,86,84
211,21,5,396400,418,215,203
212,21,5,396500,106,57,49
213,21,5,396600,70,33,37
214,21,5,396700,64,32,32
